ID;Country_Code;Province;Latitude;Longitude;Date;Day;Month;Year
364;EC;Sucumbios;-0.00084;-77.514212;1/6/2022;6;1;2022
365;EC;Sucumbios;0.107758;-76.851204;1/14/2020;14;1;2020
366;EC;Sucumbios;-0.025176;-77.497689;1/5/2022;5;1;2022
367;PE;Loreto;-4.267567;-73.297601;2023-07-03T09:54;3;7;2023
368;AR;Misiones;-25.851022;-54.069311;2023-04-30T11:18;30;4;2023
369;CR;Guanacaste;10.801074;-85.429583;2023-06-17T15:53;17;6;2023
370;AR;Misiones;-25.969526;-54.120615;2023-04-29T12:20;29;4;2023
371;AR;Misiones;-25.966512;-54.163041;2023-04-29T12:23;29;4;2023
372;EC;Esmeraldas;0.633137;-79.194556;6/8/2022;8;6;2022
373;EC;Esmeraldas;0.654832;-79.198253;8/17/2022;17;8;2022
374;EC;Esmeraldas;0.613078;-79.170297;1/13/2022;13;1;2022
375;EC;Esmeraldas;0.631883;-79.190796;12/28/2021;28;12;2021
376;BR;Mato Grosso;-17.210292;-56.759007;2022-07-21T12:05;21;7;2022
377;PE;Madre de Dios;-12.953424;-71.525126;2020-01-13T10:25:44;13;1;2020
378;AR;Misiones;-25.994682;-54.050829;2022-11-12T19:04:13;12;11;2022
379;CO;Arauca;6.739522;-70.231882;3/22/2021;22;3;2021
380;CR;Guanacaste;10.847266;-85.659663;2022-09-28T05:25;28;9;2022
381;CR;Guanacaste;11.02931;-85.592733;2022-05-22T08:00;22;5;2022
382;BR;Federal district;-15.636667;-48.039167;9/25/2021;25;9;2021
383;EC;Esmeraldas;0.631768;-79.179186;2/19/2020;19;2;2020
384;EC;Esmeraldas;0.623541;-79.182339;7/22/2020;22;7;2020
385;EC;Esmeraldas;0.615978;-79.17687;8/5/2020;5;8;2020
386;GF;Cayenne;3.906143;-52.522187;2020-11-25T16:25;25;11;2020
